Material,Material Description,Material Group,Division,EAN/UPC,Weight unit,Gross Weight,Net Weight,Material type descr.,Material Group Desc.,Material grp desc. 2,Name,PH Level 01,PH Level 01 - Desc.,PH Level 02,PH Level 02 - Desc.,PH Level 03,PH Level 03 - Desc.,PH Level 04,PH Level 04 - Desc.,PH Level 05,PH Level 05 - Desc.
CCAD-59/28,Std CementedCup With snapfit 59/28 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-59/32,Std CementedCup With snapfit 59/32 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-59/36,Std CementedCup With snapfit 59/36 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-59/40,Std CementedCup With snapfit 59/40 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-60/28,Std CementedCup With snapfit 60/28 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-60/32,Std CementedCup With snapfit 60/32 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-60/36,Std CementedCup With snapfit 60/36 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-60/40,Std CementedCup With snapfit 60/40 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-61/28,Std CementedCup With snapfit 61/28 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-61/32,Std CementedCup With snapfit 61/32 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-61/36,Std CementedCup With snapfit 61/36 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-61/40,Std CementedCup With snapfit 61/40 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-62/28,Std CementedCup With snapfit 62/28 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-62/32,Std CementedCup With snapfit 62/32 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-62/36,Std CementedCup With snapfit 62/36 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-62/40,Std CementedCup With snapfit 62/40 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-63/28,Std CementedCup With snapfit 63/28 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-63/32,Std CementedCup With snapfit 63/32 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-63/36,Std CementedCup With snapfit 63/36 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-63/40,Std CementedCup With snapfit 63/40 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-64/32,Std CementedCup With snapfit 64/32 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-64/36,Std CementedCup With snapfit 64/36 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-64/40,Std CementedCup With snapfit 64/40 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-65/32,Std CementedCup With snapfit 65/32 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-65/36,Std CementedCup With snapfit 65/36 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-65/40,Std CementedCup With snapfit 65/40 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-66/32,Std CementedCup With snapfit 66/32 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-66/36,Std CementedCup With snapfit 66/36 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-66/40,Std CementedCup With snapfit 66/40 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-67/32,Std CementedCup With snapfit 67/32 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-67/36,Std CementedCup With snapfit 67/36 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-67/40,Std CementedCup With snapfit 67/40 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-68/32,Std CementedCup With snapfit 68/32 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-68/36,Std CementedCup With snapfit 68/36 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-68/40,Std CementedCup With snapfit 68/40 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-69/32,Std CementedCup With snapfit 69/32 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-69/36,Std CementedCup With snapfit 69/36 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-69/40,Std CementedCup With snapfit 69/40 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-70/32,Std CementedCup With snapfit 70/32 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-70/36,Std CementedCup With snapfit 70/36 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAD-70/40,Std CementedCup With snapfit 70/40 HXLPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-37/22,Std CementedCup With snapfit37/22 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-38/22,Std CementedCup With snapfit38/22 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-39/22,Std CementedCup With snapfit39/22 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-40/22,Std CementedCup With snapfit40/22 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-40/28,Std CementedCup With snapfit40/28 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-41/22,Std CementedCup With snapfit41/22 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-41/28,Std CementedCup With snapfit41/28 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-42/22,Std CementedCup With snapfit42/22 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-42/28,Std CementedCup With snapfit42/28 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-43/22,Std CementedCup With snapfit43/22 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-43/28,Std CementedCup With snapfit43/28 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-44/22,Std CementedCup With snapfit44/22 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-44/28,Std CementedCup With snapfit44/28 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-45/28,Std CementedCup With snapfit45/28 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-46/28,Std CementedCup With snapfit46/28 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-46/32,Std CementedCup With snapfit46/32 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-47/28,Std CementedCup With snapfit47/28 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-47/32,Std CementedCup With snapfit47/32 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-48/28,Std CementedCup With snapfit48/28 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-48/32,Std CementedCup With snapfit48/32 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-49/28,Std CementedCup With snapfit49/28 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-49/32,Std CementedCup With snapfit49/32 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-50/28,Std CementedCup With snapfit50/28 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-50/32,Std CementedCup With snapfit50/32 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-50/36,Std CementedCup With snapfit50/36 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-51/28,Std CementedCup With snapfit51/28 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-51/32,Std CementedCup With snapfit51/32 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-51/36,Std CementedCup With snapfit51/36 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-52/28,Std CementedCup With snapfit52/28 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-52/32,Std CementedCup With snapfit52/32 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-52/36,Std CementedCup With snapfit52/36 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-53/28,Std CementedCup With snapfit53/28 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-53/32,Std CementedCup With snapfit53/32 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-53/36,Std CementedCup With snapfit53/36 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-54/28,Std CementedCup With snapfit54/28 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-54/32,Std CementedCup With snapfit54/32 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-54/36,Std CementedCup With snapfit54/36 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-55/28,Std CementedCup With snapfit55/28 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-55/32,Std CementedCup With snapfit55/32 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-55/36,Std CementedCup With snapfit55/36 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-56/28,Std CementedCup With snapfit56/28 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-56/32,Std CementedCup With snapfit56/32 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-56/36,Std CementedCup With snapfit56/36 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-56/40,Std CementedCup With snapfit56/40 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-57/28,Std CementedCup With snapfit57/28 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-57/32,Std CementedCup With snapfit57/32 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-57/36,Std CementedCup With snapfit57/36 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-57/40,Std CementedCup With snapfit57/40 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-58/28,Std CementedCup With snapfit58/28 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-58/32,Std CementedCup With snapfit58/32 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-58/36,Std CementedCup With snapfit58/36 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-58/40,Std CementedCup With snapfit58/40 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-59/28,Std CementedCup With snapfit59/28 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-59/32,Std CementedCup With snapfit59/32 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-59/36,Std CementedCup With snapfit59/36 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
CCAG-59/40,Std CementedCup With snapfit59/40 UHMWPE,HI-CP-CSF,HI,,KG,0.000,0.000,FG Material-Hip,Cemented Cup With SF,Cemented Cup With sn,Hip Implant,HP,Hip,001,Latitud,0001,Primary,0002,Cup - Cemented / Bi,002,Cemented Cup
